Timestamp,xAxis,yAxis,zAxis
1715609501.6894279,340,393,320
1715609501.6935139,339,393,320
1715609501.6935139,340,393,320
1715609501.6935139,340,393,320
1715609501.697451,340,393,320
1715609501.697451,340,394,320
1715609501.697451,339,393,320
1715609501.697451,340,394,321
1715609501.7015755,340,394,320
1715609501.7015755,340,394,320
1715609501.7015755,340,394,320
1715609501.7015755,339,394,320
1715609501.705562,339,394,320
1715609501.705562,339,394,320
1715609501.705562,340,394,320
1715609501.705562,339,394,320
1715609501.7097468,339,394,320
1715609501.7097468,339,394,321
1715609501.7097468,339,394,320
1715609501.7137425,340,393,318
1715609501.7137425,341,393,321
1715609501.7145314,338,393,320
1715609501.7145314,338,395,323
1715609501.717584,339,395,322
1715609501.717584,341,393,320
1715609501.717584,341,393,319
1715609501.7185924,341,393,319
1715609501.7221725,338,394,320
1715609501.7221725,338,395,323
1715609501.7221725,337,394,323
1715609501.726228,340,393,321
1715609501.726228,342,392,318
1715609501.726228,341,393,319
1715609501.7267342,338,395,322
1715609501.729978,339,395,320
1715609501.729978,340,393,321
1715609501.729978,339,393,321
1715609501.729978,340,393,319
1715609501.73478,340,394,321
1715609501.73478,339,394,321
1715609501.73478,340,394,320
1715609501.737599,340,393,320
1715609501.7385714,340,393,320
1715609501.7385714,340,394,320
1715609501.7385714,339,394,320
1715609501.7426631,339,394,321
1715609501.7426631,339,394,320
1715609501.7426631,339,394,320
1715609501.7426631,340,394,320
1715609501.7464862,339,393,320
1715609501.7464862,339,393,320
1715609501.7464862,339,393,320
1715609501.7464862,339,394,320
1715609501.7508152,339,394,321
1715609501.7508152,340,394,320
1715609501.7508152,340,393,320
1715609501.7540972,339,394,321
1715609501.7551346,339,393,320
1715609501.7551346,340,394,320
1715609501.7551346,340,393,320
1715609501.7585778,340,393,320
1715609501.7585778,340,394,320
1715609501.7585778,339,394,321
1715609501.7585778,340,394,320
1715609501.7629023,339,394,320
1715609501.7629023,340,394,321
1715609501.7629023,339,393,320
1715609501.7675066,339,393,320
1715609501.7675066,340,394,320
1715609501.7675066,340,394,320
1715609501.7675066,339,394,320
1715609501.7705112,340,394,321
1715609501.771511,339,393,320
1715609501.771511,340,393,321
1715609501.771511,339,393,320
1715609501.775019,340,393,320
1715609501.775019,340,394,320
1715609501.775019,340,393,321
1715609501.778539,340,394,321
1715609501.778539,340,394,321
1715609501.7795393,340,394,321
1715609501.7795393,340,394,321
1715609501.7825384,340,394,321
1715609501.783539,340,394,320
1715609501.783539,340,394,321
1715609501.783539,340,394,320
1715609501.7870398,339,394,320
1715609501.7870398,340,394,320
1715609501.7880461,341,394,321
1715609501.7880461,339,394,320
1715609501.791051,339,394,321
1715609501.791051,339,394,320
1715609501.7920508,340,394,321
1715609501.795051,340,394,321
1715609501.795051,339,394,321
1715609501.795051,339,394,320
1715609501.795051,339,394,320
1715609501.7995665,340,394,321
1715609501.7995665,340,394,320
1715609501.7995665,339,395,320
1715609501.800573,339,394,320
1715609501.8035693,339,394,320
1715609501.8035693,339,394,320
1715609501.8035693,340,394,320
1715609501.8071122,339,394,320
1715609501.80812,340,394,321
1715609501.80812,340,394,321
1715609501.80812,340,394,320
1715609501.8114164,340,394,320
